"studyName","Topic","Description"
"Gargaglione2010","Growth environment","Soil temperature and air temperature were measured using a datta logger system (HOBBO) that record data every 2 hours. Soil humidity was measured using a Time Domain Reflectometry (TDR EIJKELKAMP, FM 3-14,62, USA)."
"Gargaglione2010","Year collected","2006-2007"
"Ghannoum2010a","Sampling strategy","Two eucalyptus species (Eucalyptus saligna and Eucalyptus sideroxylon) were grown at full field capacity under a treatment combination of ambient or elevated temperature (26/18 C or 30/22 C) and subambient, ambient or elevated CO2 (280, 400 or 640 ppm).  Seedlings were grown for 150 days from planting, at which time they were subjected to a destructive harvest of all biomass.  "
"Ghannoum2010a","Leaf area","All leaves were measured in a leaf area meter (LI-COR 3100, LI-COR, Inc., Lincoln, Nebr.).  "
"Ghannoum2010a","Height","Height was measured as the vertical distance from the pot surface to the highest apex."
"Ghannoum2010a","Biomass","All stems, leaves and roots were destructively harvested 150 days after planting, and dried seperately at 80degC for 48h."
"Ghannoum2010a","Growth environment","Glasshouse."
"Ghannoum2010a","Year collected","2008-2009"
"Ghannoum2010b","Sampling strategy","Two eucalyptus species (Eucalyptus saligna and Eucalyptus sideroxylon) were grown at full field capacity under a treatment combination of ambient or elevated temperature (26/18 C or 30/22 C) and subambient, ambient or elevated CO2 (280, 400 or 640 ppm).  Seedlings were grown for 80 days from planting, at which time they were subjected to a destructive harvest of all biomass."
"Ghannoum2010b","Leaf area","All leaves were measured in a leaf area meter (LI-COR 3100, LI-COR, Inc., Lincoln, Nebr.).  "
"Ghannoum2010b","Height","Height was measured as the vertical distance from the pot surface to the highest apex."
"Ghannoum2010b","Biomass","All stems, leaves and roots were destructively harvested 80 days after planting, and dried at 80degC for 48 h."
"Ghannoum2010b","Growth environment","Glasshouse."
"Ghannoum2010b","Year collected","2008-2009"
"Goto2003","Sampling strategy","In the autumn of 1999, 2000, and 2001, 46 trees larger or equal to 3 cm in DBH were harvested in a forest adjacent to the Yamashiro Experimental Forest (Goto et al. 2003). After measuring stem diameter at 0.3 m and 1.3 m above ground, each tree was cut down and separated into stem and branches. Stems were treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 0-0.3 m, 0.3-1.3 m, and at intervals of 1 m upward. Fresh weight of each stem section was measured and subsample was taken to obtain the ratio of dry to fresh weight. Branches were separated into large, medium, small branches, and twigs with leaves and weighted. Subsamples were taken to obtain the ratio of dry to fresh weight. Subsample for twigs with leaves were further separated into current-year leaves, older leaves, current-year branches, older branches, and flowers and fruits, and weighted to obtain the ratio of each component to the total. Fresh weight of each component was obtained from the ratio and the total fresh weight of twigs with leaves. Additionally, 20 trees with DBH larger than or equal to 1 cm and smaller than 3 cm were harvested. After cutting down, DBH and tree height were measured. Fresh weight of stem, branch, current-year leaves, and older leaves were measured. Subsamples were taken for leaves and their areas were measured. For 16 trees, roots were excavated carefully (Dannoura et al. 2006)."
"Goto2003","Leaf area","Projected leaf area of subsample were measured before oven drying and total leaf area per tree was estimated from SLA and leaf biomass (Goto et al. 2003)."
"Goto2003","Stem cross sectional area","Estimated from stem diameter."
"Goto2003","Height","Tree height and height to the lowest living branch were measured after trees were cut down (Goto et al. 2003)."
"Goto2003","Biomass","Measured fresh weights of stem, branch, and leaves were converted to dry weight from the ratio of dry to fresh weights (Goto et al. 2003). The ratio was estimated from subsamples which were oven-dried at 95 degrees C. Root dry weight were measured after oven-dried at 95 degrees C for 48 hours (Dannoura et al. 2006)."
"Goto2003","Other variables","Root biomass data was reported in Dannoura et al. (2006) and merged to this data by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Hagihara1993","Sampling strategy","The allometric relationships between different dimensions of a hinoki (Chamaecyparis obtusa (Sieb. Et Zucc.) Endl.) tree were examined on the basis of 55 destructive samples, which were collected from four different stands and whose age ranged from 12 to 59 years.  Only 24 sample trees are reported here. For the rest of 31 trees see Iijima1991, Mori1991, Nakagaki1983, Tanao1982, and Yamaji1991. Biomass and leaf area estimates were determined by the stratified clip technique, in which the stratum was 0.0-0.3 m, 0.3-1.3 m, 1.3-2.3 m, and at intervals of 1 m upward."
"Hagihara1993","Leaf area","Leaf area was determined with area meters (Murayama NCE-3, Hayashi AAC-100) on subsamles and was then extrapolatied to total leaf area using specific leaf area from each stratum and summing up each stratum.  Specific leaf area was estimated from a sample of leaves used for estimating the ratio of dry/fresh weight and area. Total leaf weight was measured for each stratum."
"Hagihara1993","Stem cross sectional area","Stem volume (dm3) was based on stem diameters at both ends of the strata (i.e., stem diameter at strata of 0-0.3 m and at final 1 m strata at top of tree)."
"Hagihara1993","Height","Height was measured as the vertical distance from the ground surface to the highest apex of each tree."
"Hagihara1993","Biomass","Trees were separated into roots, stems, branches and leaves, and then weighed. Sub-samples of the total fresh weight were taken and dried in ventilated ovens at 85 degC for a few days for fresh mass/dry mass estimates. The fresh biomass was converted into dry biomass estimates of roots, stem, branches and leaves per tree using the respective dry/fresh mass ratios."
"Hagihara1993","Growth environment","Plantation managed."
"Hamilton2005","Sampling strategy","A total of 18 trees were sampled for estimation of overstory biomass, and to aid the development of allometric relationships for Eucalyptus microcarpa, across the range of tree sizes found within the area of the Dookie Forest Reserve. Larger trees were oppportunisticly sampled (for example, after storm damage) through the period July 1996 to June 1998, and smaller trees were deliberately felled in July 1996.  Sampling strategy entailed treating."
"Hamilton2005","Stem cross sectional area","Stem diameter was measured at 30 cm aboveground, along with the length and diameter of the main stem at its apex."
"Hamilton2005","Height","Height was measured as the vertical distance from the ground surface to the highest apex of each tree (or stem)."
"Hamilton2005","Crown area","Crown width was measured at right angles, including the widest width."
"Hamilton2005","Biomass","Harvested material from a given stem was separated into leaves, twigs and branches. Branchwood and branchbark were further separated into individual components. The fresh weight of all material above 20 kg was determined using a weighbridge, while all material under 20 kg was measured on a desktop scale.  Sub-samples of all fresh material were taken randomly, then dried to current weight at 80 degC, and the dry weight to fresh weight ratio determined."
"Hamilton2005","Traits","Wood density was obtained using increment corer samples, and by the water displacement method. Regression equations (for aboveground biomass) were developed by relating the dry weight of individual tree components and total tree aboveground weight to diameter measurements (see Reference article for more details on both)."
"Hamilton2005","Growth environment","Field, wild."
"Harada1972","Sampling strategy","Survey was conducted from 1963 to 1967 in 14 Cryptomeria stands (28-59 years) in 5 regions: Chichibu (Saitama Prefecture, Paleozoic soil), Keta (Shizuoka Prefecture, Mesozoic soil), Amagi (Shizuoka Prefecture, volcanic ash soil), Murakami (Niigata Prefecture, Tertiary soil), and Hakone (Shizuoka Prefecture, volcanic ash soil) (Harada et al. 1972). Diameter at breast height, tree height, and height of the lowest living branch were measured for all living trees in the stands. In each stand, 5-8 sample trees were selected to represent each diameter class. Sample trees were felled and separated into stem, branches, and greenish parts (leaves and green twigs). Branches and greenish parts were treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 2 m thickness. Fresh weights of branches and greenish parts in each layer were measured and subsamples were taken.  Subsamples of greenish parts (500-1000 g) were separated into leaves and greenish twigs. Because distinction of leaves from greenish twigs was difficult in Cryptomeria japonica, greenish parts from the tip to the secondary branching were treated as leaves and remaining greenish parts as greenish twigs. Leaves and greenish twigs were weighted to obtain the ratio of leaves or greenish twigs to greenish parts for each stand and each layer. Then, fresh weight of leaves or greenish twigs was estimated from this ratio and fresh weight of greenish parts. Fresh weight of stem was measured directly or estimated from volume and the ratio of fresh weight to volume of subsamples. Roots of two to three trees per stand were excavated from plots centered on the stump of sampled tress. Area of a plot was equivalent or half of the mean occupancy area of a tree. Roots were separated into layers and further into main, coarse (diameter >= 2 cm), medium (0.2-2 cm), fine (< 0.2 cm) roots and weighted."
"Harada1972","Height","Method not recorded."
"Harada1972","Biomass","Measured fresh mass was converted to dry mass from the ratio of dry to fresh mass (Harada et al. 1972). The ratio for branches or green parts was estimated for each stand and each layer from subsample (500-1000 g).  The ratio for root was estimated for each stand, each layer, and each root size class from subsample (500-1000 g). "
"Harada1972","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Harada et al. (1972). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Harja2012","Sampling strategy","The data were sampled in contrasting environments across the lowlands of Sumatra, Java and Kalimantan (Indonesia) and there were no specific observation plot located. The trees were sampled individually"
"Harja2012","Height","The tree height was measured using Timber cruising altimeter carl leiss blume-leiss"
"Harja2012","Growth environment","Purposefully sampled in contrasting environments disregard of the plot status"
"Haruki1979","Sampling strategy","Sampling was conducted in 12 Abies sachalinensis plantations in Teshio and Tomakomai Experimental Forests, Hokkaido University, Hokkaido, Japan. Stand ages and the data of sampling were: stand 1-2: 11 years old, June and August of 1972; stand 3: 11 years, Sep. 1974; stand 4: 18 years, Nov. 1973; stand 5: 38 years, Sep. 1972; stand 6 : 9 years, Oct. 1974; stand 7-9: 12 years, Sep. 1972; stand 10: 35 years, Dec. 1972; stand 11:  ca. 15 years, July 1976; 12: 30-34 years, July 1976. In addition, sampling was conducted in plot 13 in Teshio Experimental Forest, a naturally regenerated ca. 30 year-old A. sachalinensis stand in July 1976. Stand 11-13 were selected to study suppressed trees. Sample trees were selected either to cover size ranges or to represent the average size. Sample trees were cut at ground level. Tree height, height of the lowest living branch, and stem diameters at breast height were measured. Sample trees were then cut into two parts at the height of the lowest living branch. Crown was further cut into whorl strata defined by whorls. For each stratum, needles and branches were separated from the stem."
"Haruki1979","Stem cross sectional area","Estimated from stem diameter."
"Haruki1979","Height","Measured after trees were cut."
"Haruki1979","Biomass","Fresh mass of stem and needles + branches were measured for each stratum. Stems were oven-dried at 90 degC and weighted for dry mass. For stand 5 and 10, dry mass was estimated from fresh mass and the ratio of dry to fresh mass which was obtained from a disc collected for each stratum.  Needle fresh mass and branch fresh mass of each whorl stratum were estimated from the needle+branch fresh mass and the ratio of needle to branch mass specific for each stratum. The ratio was estimated from subsamples taken from the stratum. Fresh mass was converted to dry mass by the stratum-specific ratio of dry to fresh mass which was obtained from subsamples. Amount of subsample for the conversion ratio was about 10 % of the total fresh mass within the stratum."
"Haruki1979","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Haruki (1979). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Hashizume1980","Sampling strategy","Survey was conducted in the summer of 1978 (Hashizume and Onishi 1980). Sample trees were selected to represent each diameter class and were felled. Diameter at breast height, tree height, and height of the lowest living branch were measured. Sample trees were treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 0-0.3 m, 0.3-1.3 m, 1.3-2.3 m, and at intervals of 1 m upward."
"Hashizume1980","Height","Measured after sample trees were felled (Hashizume and Onishi 1980)."
"Hashizume1980","Biomass","Fresh mass of stem, branches, leaves, and fruits in each layer were measured. Measured fresh mass was converted to dry mass from the ratio of dry to fresh mass (Hashizume and Onishi 1980). The ratio was estimated from subsamples from each layer."
"Hashizume1980","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Hashizume and Onishi (1980). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Hashizume1985","Sampling strategy","Survey was conducted in three plots in a secondary oak forest about 40-years old in August 1984 (Hashizume 1985). Two plots were heavily thinned in 1978 to make them into Quercus acutissima dominant stands and the density was 600 trees/ha in 1984. Fertilizer of 3-5 kg/tree (N: P: K = 13: 17: 12, %; 900-1500 kg/ha) was applied to one of two plots for three years after thinning. Third plot was untreated control with density of 800-1000 trees/ha in 1984. After 6 years, in 1984, 15 sample trees, 5 from each plot, were selected to represent averaged size. Method of biomass measurement was the same as Hashizume and Kodani (1985, Studies on the improvement of the secondary forest of broad-leaved trees (I) The effect of improved cutting on the growth of the secondary forest of Buna (Fagus crenata Blume). Bull. Fac.Agric. Tottori Univ. 38: 51-59). Sample trees were felled after the measurement of diameter at breast height, tree height, and height of the lowest living branch. "
"Hashizume1985","Height","Measured before sample trees were felled (Hashizume and Kodani 1985)."
"Hashizume1985","Biomass","Fresh mass of stem, branches, leaves, and fruits were measured. Measured fresh mass was converted to dry mass from the ratio of dry to fresh mass (Hashizume and Kodani 1985). The ratio was estimated from subsamples which were oven-dried at 100 degrees C."
"Hashizume1985","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Hashizume (1985). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Holdaway2008","Sampling strategy","Leaf area and weight data collected for 87 Nothofagus solandri individuals at Craigieburn, South Island, New Zealand. Data collected January to April 2007 from three distinct age classes (25, 40 and 135 years old). All stands were located on similar slopes, aspects and altitudes"
"Holdaway2008","Leaf area","Each tree was divided into 1m height classes. A subsample of 100 fresh leaves from each height class was used for determination of leaf area using ImageJ software and specific leaf area was used to estimate total leaf area per height class and per tree."
"Holdaway2008","Leaf biomass","For each height class leaf biomass was determined by drying the leaf component (including petioles) at 60 degC for at least three days  and weighing all material per height class. Sor some the leaf biomass was determined through weighing branches with leaves still attached and calculating the leaf biomass through a known leaf to branch ratio. Total leaf biomass was attained by summation of all height classes."
"Holdaway2008","Leaf mass per area","LMA calculated as the average across the entire plant"
"Holdaway2008","Individual leaf area","Average leaf area for an individual leaf was aceraged across the entire plant"
"Holdaway2008","Growth environment","Natural forest"
"Holdaway2008","Stem cross sectional area","Stem diameter was measured at ground using calliper at right angles, and at breast height (1.35m) using stem diameter tape"
"Holdaway2008","Height","Height was measured as the vertical distance from the ground to the highest apex."
"Holdaway2008","Other variables","Further data exist on the stand development sequence from which these data were obtained. See Holdaway et al. 2008 Functional Ecology 22: 460-469 and references therein."
"Holdaway2008","Year collected","2007"
"Iijima1991","Sampling strategy","The allometric relationships between different dimensions of a hinoki (Chamaecyparis obtusa (Sieb. Et Zucc.) Endl.) tree were examined on the basis of 55 destructive samples, which were collected from four different stands and whose age ranged from 12 to 59 years (Hagihara1993).  Only 5 sample trees are reported here. For the rest of 50 trees see Hagihara1993, Mori1991, Nakagaki1983, Tanao1982, and Yamaji1991. Biomass and leaf area estimates were determined by the stratified clip technique, in which the stratum was 0.0-0.3 m, 0.3-1.3 m, 1.3-2.3 m, and at intervals of 1 m upward."
"Iijima1991","Leaf area","Leaf area was determined with area meters (Murayama NCE-3, Hayashi AAC-100, Hayashi AAM-5) on subsamles and was then extrapolatied to total leaf area using specific leaf area from each stratum and summing up each stratum.  Specific leaf area was estimated from a sample of leaves used for estimating the ratio of dry/fresh weight and area. Total leaf weight was measured for each stratum."
"Iijima1991","Stem cross sectional area","Estimated from stem diameter."
"Iijima1991","Height","Height was measured as the vertical distance from the ground surface to the highest apex of each tree."
"Iijima1991","Biomass","Trees were separated into roots, stems, branches and leaves, and then weighed. Sub-samples of the total fresh weight were taken and dried in ventilated ovens at 85 degC for a few days for fresh mass/dry mass estimates. The fresh biomass was converted into dry biomass estimates of roots, stem, branches and leaves per tree using the respective dry/fresh mass ratios."
"Iijima1991","Growth environment","Plantation managed."
"Ikushima1964","Sampling strategy","Sample trees were selected in two locations (800-1200 m a.s.l.) to represent wide diameter ranges in August 1962 (Ikushima 1964). After trees were felled, diameter at breast height and tree height were measured."
"Ikushima1964","Leaf area","Leaf area was estimated from subsamples (Ikushima 1964)."
"Ikushima1964","Height","Measured but not reported."
"Ikushima1964","Biomass"," Fresh mass of stem, branches, and leaves were measured. Measured fresh mass was converted to dry mass from the ratio of dry to fresh mass (Ikushima 1964). The ratio was estimated from subsamples taken for each tree. For several large-sized trees, fresh mass of stems were estimated from stem volume."
"Ikushima1964","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Ikushima (1964). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Ilomaki2003","Sampling strategy","Eighteen sample trees were felled and measured in August 1999.  Trees in sample plots were classified as dominant and nondominant on the basis of crown size and position in canopy. The trees in each plot and each class were ordered by basal area, the cumulative basal area of the ordered series was divided into three equal classes and one sample tree was picked randomly from each third except in the dense plot where two nondominant sample trees were picked from each three classes. This yielded three, six, and nine sample trees from the sparse, medium, and dense plot, respectively, and included nine dominant and nine nondominant trees."
"Ilomaki2003","Leaf area","Leaf area estimate was based on leaf biomass (see below) and specific leaf area. SLA (projected) was measured on sample leaves  (12.5 m2/kg)."
"Ilomaki2003","Stem cross sectional area","Stem cross sectional area was determined from sample disks taken at breast height (1.3 m) and at crown base. The cross section was calculated as a circle with radius equalling the average of the largest diameter and that perpendicular to it."
"Ilomaki2003","Height","Height was measured using a tape measure on the felled trees. Breast height was recorded before felling and the part of the stem above breast height was added to 1.3 m to obtain the total height."
"Ilomaki2003","Height to crown base","Crown base was recorded as the height of the lowest live branch; however, single branches more than 1 m below the uniform live crown were not included in the crown. Crown base height was measured after felling (see height)."
"Ilomaki2003","Diameter","Diameter at breast height (over bark) was measured with a calliper before felling as an average of two perpedicular measurements."
"Ilomaki2003","Crown area","Before felling, the width of the crown was measured at the widest diameter and the one perpendicular to that. Crown area can be approximated using this and crown length, measured using a tape measure after felling."
"Ilomaki2003","Biomass","Branches were sampled systematically from each tenth of the crown length and discs were taken from the stem at a number of heights, all including breast height and crown base. Stand-wise regression model were developed for the sample branches to estimate leaf and branch dry mass from branch diameter and distance from the tree top, which were measured from all live branches in the crown. Stem volume was calculated from the logs between the disc measurement heights by assuming the logs as cut cones. The volume was converted to stem biomass using wood density of the lower disc of each log, obtained by weighing and immersion of the disc."
"Ilomaki2003","Growth environment","Effective Temperature Sum 1215 degree-days (5degC threshold), MAT = 2.2degC, MAP = 640 mm. Soil type = stonefree silt. Stands consisted of three experimental plots of silver birch with sparse, medium, and dense stocking, were planted in the spring of 1971 on an abandoned field at densities 400, 1600, and 5000/ha.  No harvests had been carried out prior to the measurements carried out in 1999."
"Ilomaki2003","Year collected","1999"
"Ishii2000","Sampling strategy","Survey was conducted in June-August 1995 in a secondary broadleaved forest (60 m a.s.l.) dominated by Quercus such as Q. serrate and Q. variabilis (Ishii and Tadaki 2000). All trees in a 15 times 10 m plot were felled. Stem diameter at 0, 0.3, 1.3 m and at intervals of 1 m upward, tree height, height of the lowest living branch, height of lowest leaf, and crown diameter were measured. Sample trees were treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 1 m depth. "
"Ishii2000","Leaf area","Leaf area was estimated from subsamples (Ishii and Tadaki 2000)."
"Ishii2000","Height","Measured after trees were felled (Ishii and Tadaki 2000)."
"Ishii2000","Biomass","Fresh mass of stem, branches, leaves, and fruits in each layer were measured. Measured fresh mass was converted to dry mass from the ratio of dry to fresh mass (Ishii and Tadaki 2000). The ratio was estimated from subsamples taken from each layer."
"Ishii2000","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Ishii and Tadaki (2000). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Kabaya1968","Sampling strategy","Survey was conducted in October 1967 in a Pine forest (33-34 year old) in Shizuoka Prefecture (Kabaya and Satoo 1968). All trees in a 41.8-square-meter plot were felled."
"Kabaya1968","Height","Methods not reported."
"Kabaya1968","Biomass","Methods not reported."
"Kabaya1968","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Kabaya and Satoo (1968). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Kabaya1981","Sampling strategy","Harvest in Arai Experimental station was conducted in November 1969 at 5 Pinus thunbergii plantation plots (Kabaya 1981). Two plots were fertilized (F1 and F2) in 1967 with ammonium sulfate (250 kg/ha as N amount) and saw dust compost and in 1968, 1969, 1970 by ammonium sulfate (50 kg/ha as N amount). Two plots were control (C1 and C2). Litter was removed from one plot (R1) four times a year since 1967. All plots were 33-34 years old in 1967. Harvest in Futtsu sea coast was conducted in December 1968 at one fertilized (NKP) and one control (C2) plots. Both plots were planted with P. thunbergii in 1952 and 18 years old in 1966. Fertilized plot (NKP) was fertilized with ammonium nitrate, ammonium phosphate, and potassium chloride (1 kg/a as N, 1.2kg/a as P2O5, and 3 kg/a as K) in 1966. Additionally, this plot was fertilized with ammonium phosphate (1 kg/a as N) in 1967 and 1968. Harvest in a 33 year-old P. thunbergii plantation plot in Tanashi Experimental Field was conducted in October 1968. Harvest in a 22-23 year-old plot in a naturally regenerated P. thunbergii stand of Chiba Forest of Tokyo University was conducted in November 1968. The plot was facing southwest with a slope of 35-36 degrees. Two to five sample trees were felled from each plot. Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 2 m depth. Roots in a 1-m radius from the stump of a sampled tree were excavated."
"Kabaya1981","Height","Methods not reported in Kabaya (1981)."
"Kabaya1981","Biomass","Fresh weight of stem, branches, and needles in each layer were measured. Branches and needles were further separated based on their ages (current-year, one year, second year, and others). Subsamples of each organ were taken and oven-dried at 80 degrees C (Kabaya 1981). The dry-to-fresh weight ratios of these subsamples were used to calculate total dry weight of each tree component."
"Kabaya1981","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Kabaya (1981). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Kantola2004","Sampling strategy","In the young stand (Lapinjärvi), 5 trees were sampled from an unthinned plot, while in each of the two older stands (Heinola and Punkaharju), a total of 12 trees were sampled from 3 plots with different thinning treatments, including unthinned control (5 trees sampled), normal commercial thinning (4 trees sampled), and intensive thinning (3 trees sampled). The trees were sampled according to the stem cumulative basal area distribution in each plot (more accurate description in the article)."
"Kantola2004","Stem cross sectional area"," Calculated by stem diameter at the  base of the living crown. The stem measured in two directions using a slide gauge."
"Kantola2004","Height"," The sample trees were felled and tree height was measured by tape measure from the base of the trunk to the tip of the crown."
"Kantola2004","Crown area","This was projected crown area and was estimated as a circle by the measurements of the crown width (Crown width was measured in two directions; the maximum width and the width perpendicular to it)."
"Kantola2004","Biomass","The foliage and branch wood biomasses were estimated for each branch in the crown using the measurements of ten randomly sampled branches. The fresh sample branches were measured in the field and then oven dried. The dry mass of needles and branch wood was then determined. The stem basic density estimated from five sample discs (at crown base, 1.3 m, 30%, 70%, and 90% height). The randomly cut sample sectors were separated into sapwood, heartwood and bark fragments, which were measured for volume by immersion, and then oven dried and weighed."
"Karizumi1984","Sampling strategy","Harvest was conducted in a 31-year-old Chamaecyparis obtusa forest in August 1983 (Karizumi and Terada 1984). Sample trees were selected to represent each diameter class. Roots were excavated, separated into soil depth and into very large (diameter >= 5 cm), large (2-5 cm), medium (0.5-2 cm), small (0.2-0.5 cm), fine (< 0.2 cm) roots, and weighted. Fine and small roots were estimated by soil block sampling method."
"Karizumi1984","Height","Method not reported in Karizumi and Terada (1984) "
"Karizumi1984","Biomass","Method not reported in Karizumi and Terada (1984),"
"Karizumi1984","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Karizumi and Terada (1984). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Katagiri1984","Sampling strategy","Harvest was conducted in a 3 0.01-ha subplots (10 m times 10 m) in a broadleaf forest plot (20 m  times 95 m) at Sanbe Forest of Shimane University in August 1983 (Katagiri et al. 1984). All trees with diameter >= 4.8 cm were felled. Additionally, three trees with diameter >= 25 cm were felled from other plots. Trees felled in 1976 and 1982 were also reported. After felling, stem diameters at breast height, tree height, and height of the lowest living branch were measured."
"Katagiri1984","Height","Method was not reported in Katagiri et al. (1984)."
"Katagiri1984","Biomass","Fresh weights of stem, branches, and leaves were measured. Detailed method was not reported in Katagiri et al. (1984)."
"Katagiri1984","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Katagiri et al. (1984). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Katakura2007","Sampling strategy","Harvest in stand 6, 7, 8, and 9 were conducted in August 2001, November 2001, October 2006, July 2004, respectively (Katakura et al. 2007). All stands were secondary forest. Sample trees were selected to cover diameter range. Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 1 m depth."
"Katakura2007","Height","Method not reported in  Katakura et al. (2007)."
"Katakura2007","Biomass","Samples were oven-dried at 80 degrees C for 72 hours and dry weights were measured (Katakura et al. 2007)."
"Katakura2007","Other variables","M.I. Ishihara, H. Utsugi, H. Tanouchi, and T. Hiura conducted formal search of reference databases and digitized raw data from Katakura et al. (2007). Based on this reference, meta data was also created by M.I. Ishihara. Species name and family names were converted by M.I. Ishihara according to the following references: Satake Y, Hara H (1989a) Wild flower of Japan Woody plants I (in Japanese). Heibonsha, Tokyo; Satake Y, Hara H (1989b) Wild flower of Japan Woody plants II (in Japanese). Heibonsha, Tokyo."
"Kato1973","Sampling strategy","Six sample trees each were selected near two plots (1-A-II: low density of 1421 trees/ha, 1-B-II: high density of 2870 trees/ha) to represent each diameter class in September 1967 (Kato and Segawa 1973). Sample trees were then treated with the stratified clip technique by cutting them into parts contained in horizontal layers of 1 m depth. Fresh weights of stem, branches, and leaves were measured. Roots of four trees were excavated, separated into main, large (diameter >= 7 mm), medium (2-7 mm), fine (< 2 mm) roots, and weighted."
"Kato1973","Leaf area","Leaf area was estimated from subsamples (Kato and Segawa 1973)."
"Kato1973","Height","Method not reported in Kato and Segawa (1973)."
